413,368,6444,2025,1912,1514,687
390,375,5708,1891,1876,1311,606
367,372,5868,1607,1777,1224,571
380,383,6270,1612,1846,1214,565
350,328,5191,1280,1287,1042,478
319,261,4005,1066,916,719,355
337,301,4141,1095,939,747,359
348,289,4742,1273,1382,982,483
353,267,4137,1188,1347,879,433
348,271,4163,1040,1361,794,393
343,294,4114,931,1280,804,375
350,297,4040,932,1224,825,377
345,251,2582,676,701,461,263
330,247,2791,672,746,526,279
347,253,3549,857,1255,762,342
324,247,2099,634,677,446,237
357,232,3080,696,1118,626,308
347,282,2947,608,1026,628,282
369,238,2725,629,972,542,253
308,256,1772,443,554,347,169
340,217,2012,456,560,363,199
292,253,2612,546,1022,560,284
337,272,2193,558,876,505,240
317,268,2372,523,926,471,204
336,263,2264,522,836,457,235
303,274,2348,534,861,554,238
311,242,1575,342,470,348,164
324,207,1724,398,557,340,190
348,261,2157,519,889,549,232
342,259,1911,476,893,441,213
348,251,1965,483,856,489,203
326,273,1905,483,806,507,238
337,268,2058,483,826,487,257
276,234,1280,333,467,324,175
324,218,1501,398,538,359,192
320,239,1593,372,565,368,193
341,244,1419,371,554,375,214
331,249,1418,333,532,333,182
327,231,1344,313,480,310,169
320,224,1250,322,493,313,188
331,212,970,315,377,257,149
288,231,892,290,392,263,157
318,229,1122,265,429,271,155
328,213,998,254,364,307,183
297,228,1008,274,341,269,157
316,277,1048,247,333,244,130
307,265,984,242,304,261,151
290,255,792,197,258,238,125
292,236,752,244,228,218,143
300,259,896,231,277,223,132
299,233,937,234,277,247,143
304,243,863,229,264,221,163
310,225,841,250,233,238,168
287,252,954,238,271,232,150
303,236,674,250,246,207,150
268,226,704,261,200,206,123
300,226,813,266,252,249,153
311,239,849,237,230,266,159
295,220,824,263,219,237,161
334,269,850,225,231,232,147
